location_name,x,y,book,chapter,spec_text,alt_text
abbey,1600,2050,1,15,abbey,
ba sing se,3000,2000,,,,
boiling rock,750,1820,,,,
cave of two lovers,2150,1500,2,2,"secret tunnel, cave",
crescent island,1770,1650,,,,
crystal catacombs,2500,2100,,,,
ember island,1120,1650,,,,
fancy lady day spa,3050,2010,,,,
foggy swamp,2600,1300,,,,
great divide,2250,1850,,,,
great gates of azulon,970,1500,,,,
jeong jeong's camp,2000,2300,1,16,camp,
kyoshi island,2150,1000,,,,chin village
lake laogai,3020,1900,,,,
mt. makapu,1980,1800,,,,makapu
misty palms,2600,1300,,,,
northern water tribe,1800,2520,,,,
omashu,2300,1350,,,,
patola mountain range,1700,800,,,,patola
piandao's castle,1580,1620,3,4,castle,
prison rig,1900,1400,1,6,"rig, prison",
roku's island,1500,1500,,,,
senlin village,2000,1600,,,,
serpent's pass,2500,1900,,,,
si wong desert,2550,1450,,,,
southern water tribe,2000,500,,,,
western lake,2400,1750,,,,
whaletail island,1900,1050,,,,
